ano,uf,instituto,periodo_campo,candidato_resultado,ranking_voto_bruto,ranking_pesquisa,share_voto_nominal_calculado,share_pesquisa,erro_estimativa_pp,erro_distancia_corte_pp
2010,CE,Ibope,27-29/09,Tasso Jereissati (PSDB),3.0,1.0,0.2370269352013773,0.3424657534246575,10.543881822328022,10.74500897141149
2010,CE,Ibope,27-29/09,Eunício Oliveira (PMDB),1.0,2.0,0.363238249242306,0.3219178082191781,-4.132044102312793,-3.930916953229324
2010,CE,Ibope,27-29/09,José Pimentel (PT),2.0,3.0,0.3239290797100128,0.2876712328767123,-3.6257846833300467,-3.424657534246578
2010,CE,Ibope,27-29/09,Alexandre Pereira (PPS),4.0,4.0,0.063510120710932,0.02054794520547945,-4.296217550545254,-4.095090401461782
2010,CE,Ibope,27-29/09,Marilene Torres (PSOL),5.0,5.0,0.0079341888672517,0.00684931506849315,-0.1084873798758549,0.09263976920760797
2010,CE,Ibope,27-29/09,Tasso Jereissati (PSDB),3.0,6.0,0.2370269352013773,0.00684931506849315,-23.017762013288415,-22.81663486420495
2010,CE,Ibope,27-29/09,Raquel Dias (PSTU),7.0,7.0,0.0019790892001845,0.00684931506849315,0.487022586830865,0.688149735914326
2010,CE,Ibope,27-29/09,Reginaldo (PSTU),6.0,8.0,0.0019932737985476,0.00684931506849315,0.485604126994555,0.6867312760780244
2010,DF,Datafolha,28-29/09,Cristovam Buarque PDT,3.0,1.0,0.0560845264898924,0.4067796610169492,35.06951345270568,37.285892226759174
2010,DF,Datafolha,28-29/09,Rodrigo Rollemberg PSB,1.0,2.0,0.4969840806290769,0.3220338983050847,-17.495018232399218,-15.278639458345728
2010,DF,Datafolha,28-29/09,Alberto Fraga DEM,2.0,3.0,0.3441976860456196,0.2033898305084746,-14.080785553714502,-11.864406779661014
2010,DF,Datafolha,28-29/09,Milton Tadashi PTN,8.0,4.0,0.0040461229757609,0.01694915254237288,1.290302956661198,3.506681730714689
2010,DF,Datafolha,28-29/09,Chico Sant'Anna PSOL,7.0,5.0,0.0110933616129045,0.00847457627118644,-0.26187853417180584,1.9545002398816855
2010,DF,Datafolha,28-29/09,Robson da Silva PSTU,10.0,6.0,0.0025596959587218,0.00847457627118644,0.591488031246464,2.8078668052999554
2010,DF,Datafolha,28-29/09,Sebastião Gerônimo PSL,9.0,7.0,0.0027615647251825,0.00847457627118644,0.5713011546003941,2.7876799286538834
2010,DF,Datafolha,28-29/09,Moacir Bueno PV,5.0,8.0,0.0314477893351384,0.00847457627118644,-2.297321306395196,-0.08094253234170878
2010,DF,Datafolha,28-29/09,Jorge Antunes PSOL,6.0,9.0,0.0143239347721641,0.00847457627118644,-0.5849358500977659,1.6314429239557207
2010,DF,Datafolha,28-29/09,Cadu Valadares PV,4.0,10.0,0.0365012374555384,0.00847457627118644,-2.8026661184351958,-0.5862873443817094
2010,DF,Ibope,21-23/09,Cristovam Buarque PDT,3.0,1.0,0.0560845264898924,0.42016806722689076,36.40835407369983,36.37434116565676
2010,DF,Ibope,21-23/09,Rodrigo Rollemberg PSB,1.0,2.0,0.4969840806290769,0.3445378151260504,-15.244626550302648,-15.278639458345728
2010,DF,Ibope,21-23/09,Alberto Fraga DEM,2.0,3.0,0.3441976860456196,0.16806722689075632,-17.61304591548633,-17.64705882352941
2010,DF,Ibope,21-23/09,Cadu Valadares PV,4.0,4.0,0.0365012374555384,0.01680672268907563,-1.9694514766462767,-2.003464384689355
2010,DF,Ibope,21-23/09,Chico Sant'Anna PSOL,7.0,5.0,0.0110933616129045,0.01680672268907563,0.5713361076171131,0.5373231995740397
2010,DF,Ibope,21-23/09,Jorge Antunes PSOL,6.0,6.0,0.0143239347721641,0.008403361344537815,-0.5920573427626286,-0.6260702508057037
2010,DF,Ibope,21-23/09,Milton Tadashi PTN,8.0,7.0,0.0040461229757609,0.008403361344537815,0.43572383687769145,0.4017109288346177
2010,DF,Ibope,21-23/09,Moacir Bueno PV,5.0,8.0,0.0314477893351384,0.008403361344537815,-2.304442799060059,-2.338455707103133
2010,DF,Ibope,21-23/09,Robson da Silva PSTU,10.0,9.0,0.0025596959587218,0.008403361344537815,0.5843665385816014,0.550353630538531
2010,ES,Flexconsult,26-28/09,Magno Malta PR,2.0,1.0,0.3676063029648442,0.42341220423412207,5.580590126927786,6.164383561643838
2010,ES,Flexconsult,26-28/09,Ricardo Ferraço PMDB,1.0,2.0,0.445474331313255,0.3617683686176837,-8.37059626955713,-7.786802834841078
