ano,uf,pagina,url,tabela,linha,candidato_resultado,partido_resultado,votos,percentual_publicado,percentual_original,fonte_primaria,fonte_estruturada,ranking_voto_bruto,eleito_top2_voto_bruto,share_voto_nominal_calculado,diferenca_percentual_publicado_pp
2018,AM,Eleições estaduais no Amazonas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amazonas_em_2018,10,8,Rondinely Fonseca PSOL,,1465,0.44,"0,44%",TSE/Justiça Eleitoral (conforme tabela estadual),Wikipédia,8,False,0.00044677560672279874,0.39532243932772015
2018,BA,Eleições estaduais na Bahia em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_na_Bahia_em_2018,13,1,Jaques Wagner (PT),,4253331,,,TSE/Justiça Eleitoral (conforme tabela estadual),Wikipédia,1,True,0.3570972144806806,
2018,BA,Eleições estaduais na Bahia em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_na_Bahia_em_2018,13,2,Angelo Coronel (PSD),,3927598,,,TSE/Justiça Eleitoral (conforme tabela estadual),Wikipédia,2,True,0.3297496257403649,
2018,BA,Eleições estaduais na Bahia em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_na_Bahia_em_2018,13,3,Irmão Lázaro (PSC),,1830581,,,TSE/Justiça Eleitoral (conforme tabela estadual),Wikipédia,3,False,0.1536902197316077,
2018,BA,Eleições estaduais na Bahia em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_na_Bahia_em_2018,13,4,Jutahy Júnior (PSDB),,948541,,,TSE/Justiça Eleitoral (conforme tabela estadual),Wikipédia,4,False,0.07963672446859162,
2018,BA,Eleições estaduais na Bahia em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_na_Bahia_em_2018,13,5,Comadante Rangel (PSL),,577645,,,TSE/Justiça Eleitoral (conforme tabela estadual),Wikipédia,5,False,0.04849738251236331,
2018,BA,Eleições estaduais na Bahia em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_na_Bahia_em_2018,13,6,Fábio Nogueira (PSOL),,165705,,,TSE/Justiça Eleitoral (conforme tabela estadual),Wikipédia,6,False,0.013912106517343977,
2018,BA,Eleições estaduais na Bahia em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_na_Bahia_em_2018,13,7,Jorge Viana (MDB),,60907,,,TSE/Justiça Eleitoral (conforme tabela estadual),Wikipédia,7,False,0.005113573348129927,
2018,BA,Eleições estaduais na Bahia em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_na_Bahia_em_2018,13,8,Francisco José (REDE),,44524,,,TSE/Justiça Eleitoral (conforme tabela estadual),Wikipédia,8,False,0.0037381046472841693,
2018,BA,Eleições estaduais na Bahia em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_na_Bahia_em_2018,13,9,Celsinho Cotrim (PRTB),,41055,,,TSE/Justiça Eleitoral (conforme tabela estadual),Wikipédia,9,False,0.003446857566576488,
2018,BA,Eleições estaduais na Bahia em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_na_Bahia_em_2018,13,10,Marcos Maurício (DC),,39780,,,TSE/Justiça Eleitoral (conforme tabela estadual),Wikipédia,10,False,0.0033398123005337404,
2018,BA,Eleições estaduais na Bahia em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_na_Bahia_em_2018,13,11,Adroaldo dos Santos (PCO),,21182,,,TSE/Justiça Eleitoral (conforme tabela estadual),Wikipédia,11,False,0.0017783786865235216,
