ano,uf,pagina,url,tabela,linha,periodo_campo,instituto,margem_erro_texto,margem_erro_pp,formato,candidato_rotulo,percentual,valor_original,contexto,fonte_pesquisa,id_rodada,formato_inferido,formato_confirmado,fonte_primaria_confirmada,publicado_em,cand_norm,candidato_pesquisa,candidato_resultado,share_voto_nominal_calculado,eleito_top2_voto_bruto,ranking_voto_bruto
2018,AL,Eleições estaduais em Alagoas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_em_Alagoas_em_2018,1.0,2.0,17/09 a 19/09/2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Cabral (PATRI),5.0,5%,"Senado Federal | Governo do Estado | Pesquisas de intenção de voto | Deputados Federais eleitos | Levando em conta que para o senado o eleitor irá votar duas vezes, as pesquisas possuem um universo de 200% | Senado Federal[editar | editar código]",wikipedia,,,,,,cabral patri,Cabral (PATRI),Cabral,0.0022170880835737,False,9.0
2018,AL,Eleições estaduais em Alagoas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_em_Alagoas_em_2018,1.0,2.0,17/09 a 19/09/2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Cícero (PSOL),4.0,4%,"Senado Federal | Governo do Estado | Pesquisas de intenção de voto | Deputados Federais eleitos | Levando em conta que para o senado o eleitor irá votar duas vezes, as pesquisas possuem um universo de 200% | Senado Federal[editar | editar código]",wikipedia,,,,,,cicero psol,Cícero (PSOL),,,,
2018,AP,Eleições estaduais no Amapá em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amap%C3%A1_em_2018,1.0,1.0,14/09 a 16/09/2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Randolfe (REDE),59.0,59%,"Senado Federal | Governo do Estado | Pesquisas de intenção de voto | Deputados estaduais eleitos | Levando em conta que para o senado o eleitor irá votar duas vezes, as pesquisas possuem um universo de 200% | Senado Federal[editar | editar código]",wikipedia,,,,,,randolfe rede,Randolfe (REDE),Randolfe (REDE),0.144540314115549,True,2.0
2018,AP,Eleições estaduais no Amapá em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amap%C3%A1_em_2018,1.0,1.0,14/09 a 16/09/2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Janete (PSB),30.0,30%,"Senado Federal | Governo do Estado | Pesquisas de intenção de voto | Deputados estaduais eleitos | Levando em conta que para o senado o eleitor irá votar duas vezes, as pesquisas possuem um universo de 200% | Senado Federal[editar | editar código]",wikipedia,,,,,,janete psb,Janete (PSB),Janete Capiberibe (PSB),0.0682985435051618,False,5.0
2018,AP,Eleições estaduais no Amapá em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amap%C3%A1_em_2018,1.0,1.0,14/09 a 16/09/2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Lucas (PTB),22.0,22%,"Senado Federal | Governo do Estado | Pesquisas de intenção de voto | Deputados estaduais eleitos | Levando em conta que para o senado o eleitor irá votar duas vezes, as pesquisas possuem um universo de 200% | Senado Federal[editar | editar código]",wikipedia,,,,,,lucas ptb,Lucas (PTB),Lucas Barreto (PTB),0.0699704858239706,False,4.0
2018,AP,Eleições estaduais no Amapá em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amap%C3%A1_em_2018,1.0,1.0,14/09 a 16/09/2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Gilvam (MDB),13.0,13%,"Senado Federal | Governo do Estado | Pesquisas de intenção de voto | Deputados estaduais eleitos | Levando em conta que para o senado o eleitor irá votar duas vezes, as pesquisas possuem um universo de 200% | Senado Federal[editar | editar código]",wikipedia,,,,,,gilvam mdb,Gilvam (MDB),Gilvam Borges (MDB),0.001602619212544,False,14.0
2018,AP,Eleições estaduais no Amapá em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amap%C3%A1_em_2018,1.0,1.0,14/09 a 16/09/2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Palaes (MDB),12.0,12%,"Senado Federal | Governo do Estado | Pesquisas de intenção de voto | Deputados estaduais eleitos | Levando em conta que para o senado o eleitor irá votar duas vezes, as pesquisas possuem um universo de 200% | Senado Federal[editar | editar código]",wikipedia,,,,,,palaes mdb,Palaes (MDB),Fátima Pelaes (MDB),0.0220551189655464,False,9.0
2018,AP,Eleições estaduais no Amapá em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amap%C3%A1_em_2018,1.0,1.0,14/09 a 16/09/2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Amanajás (PPS),12.0,12%,"Senado Federal | Governo do Estado | Pesquisas de intenção de voto | Deputados estaduais eleitos | Levando em conta que para o senado o eleitor irá votar duas vezes, as pesquisas possuem um universo de 200% | Senado Federal[editar | editar código]",wikipedia,,,,,,amanajas pps,Amanajás (PPS),Jorge Amanajás (PPS),0.0287543511166205,False,6.0
2018,AM,Eleições estaduais no Amazonas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amazonas_em_2018,1.0,1.0,17 de agosto de 2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Braga (MDB),40.0,40%,Senador | 2.º turno | 1.º turno | Governo do Estado | Senador[editar | editar código],wikipedia,,,,,,braga mdb,Braga (MDB),Eduardo Braga MDB,0.1852017550199737,True,2.0
2018,AM,Eleições estaduais no Amazonas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amazonas_em_2018,1.0,1.0,17 de agosto de 2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Vanessa (PCdoB),24.0,24%,Senador | 2.º turno | 1.º turno | Governo do Estado | Senador[editar | editar código],wikipedia,,,,,,vanessa pcdob,Vanessa (PCdoB),Vanessa Grazziotin PCdoB,0.1140415321384144,False,5.0
