ano,uf,pagina,url,status,tabelas_resultado,candidatos,erro
2010,MA,Eleições estaduais no Maranhão em 2010,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Maranh%C3%A3o_em_2010,ok_escolhida_entre_duplicadas,6,11,
2010,MT,Eleições estaduais em Mato Grosso em 2010,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_em_Mato_Grosso_em_2010,ok,1,7,
2010,MS,Eleições estaduais em Mato Grosso do Sul em 2010,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_em_Mato_Grosso_do_Sul_em_2010,ok,1,4,
2010,MG,Eleições estaduais em Minas Gerais em 2010,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_em_Minas_Gerais_em_2010,ok,1,10,
2010,PA,Eleições estaduais no Pará em 2010,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Par%C3%A1_em_2010,ok,1,6,
2010,PB,Eleições estaduais na Paraíba em 2010,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_na_Para%C3%ADba_em_2010,ok_escolhida_entre_duplicadas,2,6,
2010,PR,Eleições estaduais no Paraná em 2010,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Paran%C3%A1_em_2010,ok_escolhida_entre_duplicadas,2,12,
2010,PE,Eleições estaduais em Pernambuco em 2010,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_em_Pernambuco_em_2010,ok,1,9,
2010,PI,Eleições estaduais no Piauí em 2010,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Piau%C3%AD_em_2010,ok,1,9,
2010,RJ,Eleições estaduais no Rio de Janeiro em 2010,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Rio_de_Janeiro_em_2010,ok,1,11,
2010,RN,Eleições estaduais no Rio Grande do Norte em 2010,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Rio_Grande_do_Norte_em_2010,ok,1,7,
2010,RS,Eleições estaduais no Rio Grande do Sul em 2010,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Rio_Grande_do_Sul_em_2010,ok,1,9,
2010,RO,Eleições estaduais em Rondônia em 2010,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_em_Rond%C3%B4nia_em_2010,ok,1,7,
2010,RR,Eleições estaduais em Roraima em 2010,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_em_Roraima_em_2010,ok,1,9,
2010,SC,Eleições estaduais em Santa Catarina em 2010,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_em_Santa_Catarina_em_2010,ok,1,9,
2010,SP,Eleições estaduais em São Paulo em 2010,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_em_S%C3%A3o_Paulo_em_2010,ok,1,12,
2010,SE,Eleições estaduais em Sergipe em 2010,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_em_Sergipe_em_2010,ok,1,13,
2010,TO,Eleições estaduais no Tocantins em 2010,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Tocantins_em_2010,ok,1,4,
