ano,uf,candidato_pesquisa,candidato_resultado
2018,MS,MDB,
2018,MS,PSC,
2018,MS,PT,
2018,MS,PTB,
2018,MS,PSDB,
2018,MS,PODE,
2018,MS,PRB,
2018,MS,PMB,
2018,MS,PSL,
2018,MS,PCdoB,
2018,MS,PPL,
2018,MS,PSOL,
2018,MS,PTC,
2018,MS,Nelsinho (PTB),Nelsinho Trad (PTB)
2018,MS,Zeca do PT,Zeca do PT (PT)
2018,MS,Moka (MDB),Waldemir Moka (MDB — Inc.)
2018,MS,Soraya (PSL),Soraya Thronicke (PSL)
2018,MS,Miglioli (PSDB),Marcelo Miglioli (PSDB)
2018,MS,Delcídio (PTC),Delcídio Amaral (PTC)[R]
2018,MT,Jayme (DEM),Jayme Campos DEM
2018,MT,Leitão (PSDB),Nilson Leitão PSDB
2018,MT,Mauro (PSOL),Procurador Mauro PSOL
2018,MT,Fávaro (PSD),Carlos Fávaro PSD
2018,MT,Arruda (PSL),Selma Arruda PSL
2018,MT,Maria (PCdoB),Professora Maria Lúcia PCdoB
2018,MT,Sachetti (PRB),Adilton Sachetti PRB
2018,MT,Caldas (NOVO),Dr. Waldir Caldas NOVO
2018,MT,Lopes (PSOL),Gilberto Lopes Filho PSOL
2018,MT,Carlos (REDE),Carlos Fávaro PSD
2018,MT,Leite (PPL),Aladir Leite PPL
2018,PA,Jader (MDB),Jader Barbalho (MDB)
2018,PA,Mário (PP) Impugnado,Mário Couto (PP)
2018,PA,Flexa (PSDB),Flexa Ribeiro (PSDB)
2018,PA,Zé Geraldo (PT),Zé Geraldo (PT)
2018,PA,Zequinha (PSC),Zequinha Marinho (PSC)
2018,PA,Ursula (PSOL),Ursula Vidal (PSOL)
2018,PA,Sidney (PSB),Sidney Rosa (PSB)
2018,PA,Osmar (PDT),Coronel Osmar (PDT)
2018,PA,Wlad (SD) Impugnado,
2018,PA,Gerson (PCdoB),Gerson Durão (PCdoB)
2018,PA,Jarbas (PV),Jarbas Vasconcelos (PV)
2018,PA,Benedita (PSTU),Benedita do Amaral (PSTU)
2018,PA,Anivaldo (PR) Impugnado,Anivaldo Vale (PR)
2018,PA,Bogo (PRP),Elléri Bogo (PRP)
2018,PA,Ibanês (PTC) Impugnado,Ibanês Taveira (PTC)
2018,PA,Xaropinho (PPL),Xaropinho do Povo (PPL)
2018,PA,Francisco (PRB) Impugnado,Francisco Alves (PRB)
2018,PA,Prado Sá (PSB) Impugnado,Prado Sá (PSB)
2018,PA,Margem de erro,
2018,PB,Cássio (PSDB),Cássio Cunha Lima PSDB
2018,PB,Veneziano (PSB),Veneziano Vital[nota 4] PSB
2018,PB,Couto (PT),Luiz Couto PT
2018,PB,Daniella (PP),Daniella Ribeiro[nota 5] PP
2018,PB,Paulino (MDB),Roberto Paulino MDB
2018,PB,Nélson (PSOL),Nelson Júnior PSOL
2018,PB,Nivaldo (PSOL),Nivaldo Mangueira PSOL
2018,PE,Costa (PT),Humberto Costa PT
2018,PE,Jarbas (MDB),Jarbas Vasconcelos MDB
2018,PE,Mendonça (DEM),Mendonça Filho DEM
2018,PE,Silvio (AVANTE),Silvio Costa AVANTE
2018,PE,Araújo (PSDB),Bruno Araújo PSDB
2018,PE,Jairinho (REDE),Pastor Jairinho REDE
2018,PE,Rocha (REDE),Adriana Rocha REDE
2018,PE,Eugênia (PSOL),Eugênia Lima PSOL
2018,PE,Cabral (PSTU),Hélio Cabral PSTU
2018,PE,Pires (PSOL),
2018,PE,Brunes (PROS),Lídia Brunes PROS
2018,PE,Rola (PCO),
2018,PI,Ciro (PP),Ciro Nogueira PP
2018,PI,Martins (PSB),Wilson Martins PSB
2018,PI,Castro (MDB),Marcelo Castro MDB
2018,PI,Frank (PRB),Frank Aguiar PRB
2018,PI,Robert (DEM),Robert Rios DEM
2018,PI,Marcos (PTC),Marcelo Castro MDB
2018,PI,Elizeu (PSL),
2018,PI,Saraiva (DC),Joaquim Saraiva DC
2018,PI,Lira (PSL),Antônio José Lira PSL
2018,PI,Henrique (REDE),Paulo Henrique Pinheiro REDE
