id_rodada,ano,uf,instituto,periodo_campo,candidato_rotulo,percentual,formato_inferido,formato_confirmado,fonte_primaria_confirmada,publicado_em,url
2010-AL-006,2010,AL,Ibope,21-23/08,Afonso Lacerda (PRTB),1.0,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado
2010-AL-006,2010,AL,Ibope,21-23/08,Diógenes Paes (PCB),1.0,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado
2010-AL-006,2010,AL,Ibope,21-23/08,Flavio Emilio (PTB),1.0,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado
2010-AP-007,2010,AP,Escutec,18-21/09,Capiberibe (PSB),39.0,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado
2010-AP-007,2010,AP,Escutec,18-21/09,Gilvam Borges (PMDB),36.0,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado
2010-AP-007,2010,AP,Escutec,18-21/09,Randolfe (Psol),36.0,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado
2010-AP-007,2010,AP,Escutec,18-21/09,Waldez (PDT),35.0,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado
2010-AP-007,2010,AP,Escutec,18-21/09,Papaleo (PSDB),12.0,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado
2010-AP-007,2010,AP,Escutec,18-21/09,Professor Marcos (PT),3.0,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado
2010-AP-007,2010,AP,Escutec,18-21/09,Claudio Vigilante (PSTU),1.0,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado
2010-AP-008,2010,AP,Ibope,10-12/09,Capiberibe (PSB),39.0,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado
2010-AP-008,2010,AP,Ibope,10-12/09,Gilvam Borges (PMDB),36.0,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado
2010-AP-008,2010,AP,Ibope,10-12/09,Randolfe (Psol),36.0,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado
2010-AP-008,2010,AP,Ibope,10-12/09,Waldez (PDT),35.0,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado
2010-AP-008,2010,AP,Ibope,10-12/09,Papaleo (PSDB),12.0,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado
2010-AP-008,2010,AP,Ibope,10-12/09,Professor Marcos (PT),3.0,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado
2010-AP-008,2010,AP,Ibope,10-12/09,Claudio Vigilante (PSTU),1.0,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado
2010-AP-009,2010,AP,Ibope,01/09,Waldez (PDT),38.0,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado
2010-AP-009,2010,AP,Ibope,01/09,Capiberibe (PSB),30.0,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado
2010-AP-009,2010,AP,Ibope,01/09,Gilvam Borges (PMDB),28.0,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado
2010-AP-009,2010,AP,Ibope,01/09,Randolfe (Psol),21.0,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado
